,0,1,2
0,1 AV,103 ST,
1,103 ST,104 ST-102ND ST,
2,103 ST-CORONA,104 ST-OXFORD AV,
3,104 ST,110 ST,
4,110 ST,110 ST-CENTRAL PARK NORTH,
5,111 ST,111 ST,
6,116 ST,111 ST-GREENWOOD AV,
7,116 ST-COLUMBIA,116 ST,
8,121 ST,116 ST-COLUMBIA UNIVERSITY,
9,125 ST,121ST ST,
10,135 ST,125 ST,
11,137 ST CITY COL,135 ST,
12,138/GRAND CONC,137 ST-CITY COLLEGE,
13,14 ST,138 ST,
14,14 ST-UNION SQ,138 ST-3 AVE,
15,145 ST,14 ST,
16,149/GRAND CONC,14 ST-UNION SQUARE,
17,14TH STREET,145 ST,
18,15 ST-PROSPECT,149 ST-3 AV,
19,155 ST,149 ST-GRAND CONCOURSE,
20,157 ST,155 ST,
21,161/YANKEE STAD,157 ST,
22,163 ST-AMSTERDM,163 ST - AMSTERDAM AV,
23,167 ST,167 ST,
24,168 ST,168 ST,
25,169 ST,168 ST - WASHINGTON HEIGHTS,
26,170 ST,169 ST,
27,174 ST,170 ST,
28,174-175 STS,174 ST,
29,175 ST,174-175 STS,
30,176 ST,175 ST,
31,18 AV,176 ST,
32,18 ST,18 AV,
33,181 ST,18 ST,
34,182-183 STS,181ST ST,
35,183 ST,182ND-183 STS,
36,190 ST,183 ST,
37,191 ST,190 ST,
38,2 AV,191ST ST,
39,20 AV,1ST AV,
40,207 ST,20 AV,
41,21 ST,207 ST,
42,21 ST-QNSBRIDGE,215 ST,
43,215 ST,219 ST,
44,219 ST,21ST ST,
45,225 ST,225 ST,
46,23 ST,23 ST,
47,231 ST,23 ST-ELY AV,
48,233 ST,231ST ST,
49,238 ST,233 ST,
50,25 AV,238 ST,
51,25 ST,238 ST-NEREID AV,
52,28 ST,25 AV,
53,3 AV,25 ST,
54,3 AV 138 ST,28 ST,
55,3 AV-149 ST,2ND AV,
56,30 AV,3 AV,
57,33 ST,30 AV-GRAND AV,
58,33 ST-RAWSON ST,33 ST,
59,34 ST-HERALD SQ,34 ST,
60,34 ST-HUDSON YD,36 AV-WASHINGTON AV,
61,34 ST-PENN STA,36 ST,
62,36 AV,39 AV-BEEBE AV,
63,36 ST,4 AV,
64,39 AV,42ND ST,
65,4 AV-9 ST,45 RD-COURT HOUSE SQ,
66,40 ST LOWERY ST,45 ST,
67,42 ST-BRYANT PK,46 ST,
68,42 ST-PORT AUTH,47-50 STS ROCKEFELLER CENTER,
69,45 ST,49 ST,
70,46 ST,5 AV,
71,46 ST BLISS ST,5 AV-53 ST,
72,47-50 STS ROCK,50 ST,
73,49 ST,51ST ST,
74,4AV-9 ST,53 ST,
75,5 AV/53 ST,55 ST,
76,5 AV/59 ST,57 ST,
77,5 AVE,59 ST,
78,50 ST,59 ST-COLUMBUS CIRCLE,
79,51 ST,6 AV,
80,52 ST,62ND ST,
81,53 ST,63 DRIVE-REGO PARK,
82,55 ST,65 ST,
83,57 ST,66 ST-LINCOLN CENTER,
84,57 ST-7 AV,67 AV,
85,59 ST,68 ST-HUNTER COLLEGE,
86,59 ST COLUMBUS,7 AV,
87,6 AV,71ST ST,
88,61 ST WOODSIDE,72ND ST,
89,63 DR-REGO PARK,75 AV,
90,65 ST,77 ST,
91,66 ST-LINCOLN,79 ST,
92,67 AV,8 AV,
93,68ST-HUNTER CO,8 ST,
94,69 ST,80 ST-HUDSON ST,
95,7 AV,81ST ST - MUSEUM OF NATURAL HISTORY,
96,71 ST,82ND ST-JACKSON HEIGHTS,
97,72 ST,86 ST,
98,72 ST-2 AVE,88 ST-BOYD AV,
99,74 ST-BROADWAY,9 AV,
100,75 AV,9 ST,
101,75 ST-ELDERTS,90 ST ELMHURST,
102,77 ST,95 ST,
103,79 ST,96 ST,
104,8 AV,ALABAMA AV,
105,8 ST-NYU,ALLERTON AV,
106,80 ST,AQUEDUCT RACETRACK,
107,81 ST-MUSEUM,AQUEDUCT-NORTH CONDUIT AV,
108,82 ST-JACKSON H,ASTOR PLACE,
109,85 ST-FOREST PK,ASTORIA BLVD-HOYT AV,
110,86 ST,ATLANTIC AV,
111,86 ST-2 AVE,ATLANTIC AV-BARCLAYS CTR,
112,88 ST,AV H,
113,9 AV,AV I,
114,90 ST-ELMHURST,AV J,
115,96 ST,AV M,
116,96 ST-2 AVE,AV N,
117,9TH STREET,AV P,
118,ALABAMA AV,AV U,
119,ALLERTON AV,AV X,
120,AQUEDUCT N.COND,BAY 50 ST,
121,AQUEDUCT RACETR,BAY PARKWAY,
122,ASTOR PL,BAY PARKWAY-22ND AV,
123,ASTORIA BLVD,BAY RIDGE AV,
124,ASTORIA DITMARS,BAYCHESTER AV,
125,ATL AV-BARCLAY,BEACH 105 ST,
126,ATLANTIC AV,BEACH 25 ST,
127,AVENUE H,BEACH 36 ST,
128,AVENUE I,BEACH 44 ST,
129,AVENUE J,BEACH 60 ST,
130,AVENUE M,BEACH 67 ST,
131,AVENUE N,BEACH 90 ST,
132,AVENUE P,BEACH 98 ST,
133,AVENUE U,BEDFORD AV,
134,AVENUE X,BEDFORD PARK BLVD,
135,B'WAY-LAFAYETTE,BEDFORD PARK BLVD-LEHMAN COLLEGE,
136,BAY 50 ST,BEDFORD-NOSTRAND AVS,
137,BAY PKWY,BERGEN ST,
138,BAY RIDGE AV,BEVERLY RD,
139,BAY RIDGE-95 ST,BLEECKER ST,
140,BAYCHESTER AV,BLISS ST-46 ST,
141,BEACH 105 ST,BOROUGH HALL,
142,BEACH 25 ST,BOTANIC GARDENS,
143,BEACH 36 ST,BOWERY,
144,BEACH 44 ST,BOWLING GREEN,
145,BEACH 60 ST,BRIARWOOD-VAN WYCK BLVD,
146,BEACH 67 ST,BRIGHTON BEACH,
147,BEACH 90 ST,BROAD CHANNEL,
148,BEACH 98 ST,BROAD ST,
149,BEDFORD AV,BROADWAY,
150,BEDFORD PK BLVD,BROADWAY JUNCTION-EAST NEW YORK,
151,BEDFORD-NOSTRAN,BROADWAY-74 ST,
152,BERGEN ST,BROADWAY-LAFAYETTE ST,
153,BEVERLEY ROAD,BROADWAY-NASSAU,
154,BEVERLY RD,BRONX PARK EAST,
155,BLEECKER ST,BROOK AV,
156,BOROUGH HALL,BROOKLYN BRIDGE-CITY HALL,
157,BOTANIC GARDEN,BUHRE AV,
158,BOWERY,BURKE AV,
159,BOWLING GREEN,BURNSIDE AV,
160,BRIARWOOD,BUSHWICK AV,
161,BRIGHTON BEACH,CANAL ST,
162,BROAD CHANNEL,CANAL ST (UL),
163,BROAD ST,CANARSIE - ROCKAWAY PARKWAY,
164,BROADWAY,CARROLL ST,
165,BROADWAY JCT,CASTLE HILL AV,
166,BRONX PARK EAST,CATHEDRAL PARKWAY-110 ST,
167,BROOK AV,CENTRAL AV,
168,BROOKLYN BRIDGE,CHAMBERS ST,
169,BUHRE AV,CHAUNCEY ST,
170,BURKE AV,CHRISTOPHER ST,
171,BURNSIDE AV,CHURCH AV,
172,BUSHWICK AV,CITY HALL,
173,CANAL ST,CLARK ST,
174,CANARSIE-ROCKAW,CLASSON AV,
175,CARROLL ST,CLEVELAND ST,
176,CASTLE HILL AV,CLINTON & WASHINGTON AVS,
177,CATHEDRAL PKWY,CLINTON-WASHINGTON AVS,
178,CENTRAL AV,CORTELYOU RD,
179,CENTRAL PK N110,CORTLANDT ST,
180,CHAMBERS ST,COURT ST,
181,CHAUNCEY ST,CRESCENT ST,
182,CHRISTOPHER ST,CYPRESS AV,
183,CHURCH AV,CYPRESS HILLS,
184,CITY / BUS,DEKALB AV,
185,CITY HALL,DELANCEY ST,
186,CLARK ST,DITMARS BLVD,
187,CLASSON AV,DITMAS AV,
188,CLEVELAND ST,DYCKMAN ST,
189,CLINTON-WASH AV,DYCKMAN ST-200 ST,
190,CONEY IS-STILLW,EAST 105 ST,
191,CORTELYOU RD,EAST 143 ST-ST MARY'S ST,
192,CORTLANDT ST,EAST 149 ST,
193,COURT SQ,EAST 180 ST,
194,COURT SQ-23 ST,EAST BROADWAY,
195,CRESCENT ST,EAST TREMONT AV-WEST FARMS SQ,
196,CROWN HTS-UTICA,EASTCHESTER-DYRE AV,
197,CYPRESS AV,EASTERN PARKWAY-BROOKLYN MUSEUM,
198,CYPRESS HILLS,ELDER AV,
199,DEKALB AV,ELDERTS LANE-75 ST,
200,DELANCEY/ESSEX,ELMHURST AV,
201,DITMAS AV,ESSEX ST,
202,DYCKMAN ST,EUCLID AV,
203,E 143/ST MARY'S,FAR ROCKAWAY-MOTT AV,
204,E 149 ST,FISK AV-69 ST,
205,E 180 ST,FLATBUSH AV-BROOKLYN COLLEGE,
206,EAST 105 ST,FLUSHING AV,
207,EAST BROADWAY,FLUSHING-MAIN ST,
208,EASTCHSTER/DYRE,FORDHAM RD,
209,EASTN PKWY-MUSM,FOREST AV,
210,ELDER AV,FOREST HILLS-71ST AV,
211,ELMHURST AV,FOREST PARKWAY-85 ST,
212,EUCLID AV,FORT HAMILTON PARKWAY,
